,latitude,longitude
237,51.51433,-0.149189
238,51.41079,0.096945
239,51.433417,0.136492
240,51.533616,-0.123049
241,51.509597,0.060872
242,51.480921,0.080165
243,51.507059,-0.100207
244,51.491818,0.271503
245,51.390388,-0.440226
246,51.531552,-0.116812
247,51.465571,-0.115002
248,51.465571,-0.115002
249,51.465571,-0.115002
250,51.465571,-0.115002
251,51.549522,-0.3995
252,51.465578,-0.114991
253,51.527275,-0.309655
254,51.472775,-0.293492
255,51.473477,-0.293703
256,51.476908,-0.291367
257,51.507073,-0.07434
258,51.530723,-0.163207
259,51.549284,-0.120903
260,51.508927,-0.19755
261,51.520405,-0.073567
262,51.569234,-0.057377
263,51.541183,-0.145745
264,51.460611,-0.436062
265,51.410788,-0.3009
266,51.541736,-0.145909
267,51.500929,-0.114476
268,51.500929,-0.114476
269,51.500929,-0.114476
270,51.460486,-0.435964
271,51.576389,-0.425891
272,51.410678,-0.228896
273,51.441997,-0.061498
274,51.46513,-0.300085
275,51.378327,0.101461
276,51.469067,-0.116858
277,51.46043,-0.435931
278,51.46043,-0.435931
279,51.460655,-0.436045
280,51.46053,-0.435839
281,51.460466,-0.435914
282,51.457089,0.148465
283,51.504235,-0.083835
284,51.500007,-0.04019
285,51.460491,-0.435959
286,51.460436,-0.435962
287,51.460347,-0.435889
288,51.371893,-0.306329
289,51.50971,-0.124136
290,51.50971,-0.124136
291,51.50971,-0.124136
292,51.512597,-0.015031
293,51.512777,-0.098334
294,51.510391,-0.130109
295,51.542222,-0.144445
296,51.541666,-0.144445
297,51.500848,-0.121042
298,51.494423,-0.092868
299,51.504383,-0.18687
300,51.479647,-0.290253
301,51.580061,-0.337348
302,51.481252,-0.176795
303,51.500555,-0.114167
304,51.520927,-0.171667
305,51.467338,-0.181231
306,51.598707,-0.120806
307,51.546025,-0.102284
308,51.590455,-0.129481
309,51.509356,-0.140097
310,51.489427,-0.229028
311,51.489263,-0.230017
312,51.573974,-0.072421
313,51.489755,-0.217959
314,51.489286,-0.214698
315,51.589338,-0.132939
316,51.513613,-0.140489
317,51.509561,-0.077209
318,51.508648,-0.138187
319,51.666687,-0.148591
320,51.467342,-0.322691
321,51.513641,-0.098803
322,51.52961,-0.12749
323,51.482447,-0.188367
324,51.496111,-0.176389
325,51.511908,-0.123245
326,51.543983,0.006061
327,51.483247,-0.133466
328,51.483888,-0.005834
329,51.47423,-0.020967
330,51.474269,-0.020925
331,51.474227,-0.020959
332,51.474183,-0.020975
